value,variants
Tshirt,T-shirt|t shirt|tshirt|T- shirt|tees|T - shirt
Shirts,Shirt|apparel
Pants,Pants
Kurta,Kurta
Jacket,Jacket
Sweater,Sweater
Cardigans,Cardigans
Track wear,Track wear
Suits,Suits
Shorts,Shots|shorts|short
3/4th,3/4th
Ethnic wear,Ethnic wear
sweatshirt,sweatshirt
Jeans,Jeans
socks,socks
caps,caps
muflers,muflers
gloves,gloves
thermal wear,thermal wear
sraves,sraves
lower,lower
Track pant,Track pant | trackpant
Joggers,Joggers
Tshirt,T-shirt|t shirt|tshirt|T- shirt|tees|T - shirt
Top,Top
Kurtis,Kurtis | Kurtis/Kurtas
Jacket,Jacket
Skirt,Skirt
Jeans,Jeans
Trouser,Trouser
Leggings,Leggings
Dupatta,Dupatta
Shorts,Short
Night wear,Night wear
Anarkali,Anarkali
Blazer,Blazer
Shorts,Shorts|shots|short
shrug,shrug
Shirts,Shirt
Dresses,Dresses|Dress|apparel
Lehenga,Lehenga
jeggings,jeggings
lower,lower
gown,gown
Track pant,track pant | trackpant
Joggers,Joggers
