value,variants
Aloo baingan masala,Aloo baingan masala
Aloo baingan,Aloo baingan
Aloo gobi,Aloo gobi
Aloo ki Tikki,Aloo ki Tikki
Aloo Matar,Aloo Matar
Aloo methi,Aloo methi
Aloo shimla mirch,Aloo shimla mirch
Amriti with Rabdi,Amriti with Rabdi
Amritsari fish,Amritsari fish
Amritsari Kulcha,Amritsari Kulcha
Arbi masala,Arbi masala
Baati,Baati
Baingan bharta,Baingan bharta
Bharwaan baigan,Bharwaan baigan
Bharwaan tinde,Bharwaan tinde
Bharwein karela,Bharwein karela
Bhatura,Bhatura
Bhindi Masala,Bhindi Masala
Butter Chicken,Butter Chicken
Chaat,Chaat
Chana masala,Chana masala
Chapathi,Chapathi
Chicken Razala,Chicken Razala
Chole bhature,Chole bhature
Daal Baati Churma,Daal Baati Churma
Daal Puri,Daal Puri
Dal makhani,Dal makhani
Kali Dal,Kali Dal
Dal Fara,Dal Fara
Dal,Dal
Dal fry with tadka,Dal fry with tadka
Dum Aloo,Dum Aloo
Poha,Poha
Fara,Fara
French bean aloo,French bean aloo
Gajar ka Halwa,Gajar ka Halwa
Gajar matar aloo,Gajar matar aloo
Gobhi matar,Gobhi matar
Imarti,Imarti
Hari Mutter ka Nimona,Hari Mutter ka Nimona
Green peas daal,Green peas daal
Jalebi,Jalebi
Jaleba,Jaleba
Kachori,Kachori
Kadai paneer,Kadai paneer
Kadhi Pakoda,Kadhi Pakoda
Karela Bharta,Karela Bharta
Katha meetha petha,Katha meetha petha
halwakadoo,halwakadoo
Kheer,Kheer
Khichdi,Khichdi
Kofta,Kofta
Kulfi falooda,Kulfi falooda
Lauki ke kofte,Lauki ke kofte
Lauki ki subji,Lauki ki subji
Litti chokha,Litti chokha
Makki di roti,Makki di roti
Sarson Da Saag,Sarson Da Saag
Mathura ke pede,Mathura ke pede
Methi Saag,Methi Saag
Chaulai Saab,Chaulai Saab
Misi roti,Misi roti
Mixed vegetable,Mixed vegetable
Moong dal ka halwa,Moong dal ka halwa
Murgh Musallam,Murgh Musallam
Mushroom do pyaza,Mushroom do pyaza
Mushroom matar,Mushroom matar
Naan,Naan
Navrattan korma,Navrattan korma
Palak Daal,Palak Daal
Palak Paneer,Palak Paneer
Paneer butter masala,Paneer butter masala
Paneer Tikka Masala,Paneer Tikka Masala
Pani Puri,Pani Puri
Panjeeri,Panjeeri
Paratha,Paratha
Pattor,Pattor
Phirni,Phirni
Pindi chana,Pindi chana
Pinni,Pinni
Rajma Chaval,Rajma Chaval
Rajma,Rajma
Ramatori subji,Ramatori subji
Rice,Rice
Rongi,Rongi
Samosa,Samosa
Samose,Samose
Sattu ki Roti,Sattu ki Roti
Shahi paneer,Shahi paneer
Shahi tukra,Shahi tukra
Singhada Halwa,Singhada Halwa
Sooji Halwa,Sooji Halwa
Sweet Pethas,Sweet Pethas
kesar petha,kesar petha
pista petha,pista petha
Vegetable Jalfrezi,Vegetable Jalfrezi
Appam,Appam
Avial,Avial
Bajji,Bajji
Bisi Bele Bath,Bisi Bele Bath
Bonda,Bonda
Chicken 65,Chicken 65
Currivepillai sadam,Currivepillai sadam
Dosa,Dosa
Double ka meetha,Double ka meetha
Goli bajje,Goli bajje
Idiappam,Idiappam
Idli,Idli
Indian omelette,Indian omelette
Kaara Kozhambu,Kaara Kozhambu
Keerai kootu,Keerai kootu
Keerai masiyal,Keerai masiyal
Keerai sadam,Keerai sadam
Koottu,Koottu
Kos kootu,Kos kootu
Kothamali sadam,Kothamali sadam
Kuzhakkattai,Kuzhakkattai
Kuzhambu,Kuzhambu
Masala Dosa,Masala Dosa
Parotta,Parotta
Paruppu sadam,Paruppu sadam
Payasam,Payasam
Pongal,Pongal
Poriyal,Poriyal
Puli sadam,Puli sadam
Puttu,Puttu
Kanji,Kanji
Sakkara pongal,Sakkara pongal
Sajjige,Sajjige
Sambar,Sambar
Sevai,Sevai
Sevai lunch,Sevai lunch
Thayir sadam,Thayir sadam
Mosaranna,Mosaranna
Thengai sadam,Thengai sadam
Uttapam,Uttapam
Vada,Vada
Varuval,Varuval
Yelumincham sadam,Yelumincham sadam
Chitranna,Chitranna
Keerai poriyal,Keerai poriyal
Wheat Upma,Wheat Upma
Koshambri,Koshambri
Obbattu,Obbattu
holige,holige
bobbattu,bobbattu
Pooran poli,Pooran poli
Ennai Kathirikkai,Ennai Kathirikkai
Ragi Mudhe,Ragi Mudhe
Pesarattu,Pesarattu
Nandu Omelette,Nandu Omelette
Amti,Amti
Bajri no rotlo,Bajri no rotlo
Barfi,Barfi
Basundi,Basundi
Bhakri,Bhakri
Bombil fry,Bombil fry
Chaat,Chaat
Chakri,Chakri
Chevdo,Chevdo
Cholafali,Cholafali
Chorafali,Chorafali
Copra paak,Copra paak
Daal Dhokli,Daal Dhokli
Dahi vada,Dahi vada
Dhokla,Dhokla
Doodhpak,Doodhpak
Dudhi no Halwo,Dudhi no Halwo
Bottle Gourd Halwa,Bottle Gourd Halwa
Dum aaloo,Dum aaloo
Pohe,Pohe
Gajar Halwo,Gajar Halwo
Carrot Halwa,Carrot Halwa
Gatta curry,Gatta curry
Ghari,Ghari
Ghooghra,Ghooghra
Gud papdi,Gud papdi
Gol papdi,Gol papdi
Gulab Jamun,Gulab Jamun
Halvasan,Halvasan
Handwo,Handwo
steamed dish,steamed dish
Gur,Gur
Jalebi,Jalebi
Jeera Aloo,Jeera Aloo
Juvar no rotlo,Juvar no rotlo
Kansar,Kansar
Keri no ras,Keri no ras
Khakhra,Khakhra
Khandvi,Khandvi
Kombdi vade,Kombdi vade
Koshimbir,Koshimbir
Laapsi,Laapsi
Laddu,Laddu
Locha,Locha
Malpua,Malpua
Methi na Gota,Methi na Gota
Modak,Modak
Mohanthal,Mohanthal
Muthiya,Muthiya
Panipuri,Panipuri
Patra,Patra
Pav Bhaji,Pav Bhaji
Penda,Penda
Pooran-poli,Pooran-poli
Puri,Puri
Puri Bhaji,Puri Bhaji
Rasya Muthia,Rasya Muthia
Sabudana Khichadi,Sabudana Khichadi
Sev Khamani,Sev Khamani
Sev Tameta,Sev Tameta
Shakarpara,Shakarpara
Namakpara,Namakpara
Shankarpali,Shankarpali
Shiro,Shiro
Shrikhand,Shrikhand
Sohan papdi,Sohan papdi
Soonvali,Soonvali
Sukhdi,Sukhdi
Sutarfeni,Sutarfeni
Thalipeeth,Thalipeeth
Undhiyu,Undhiyu
Upmaa,Upmaa
Vada pav,Vada pav
Veg Kolhapuri,Veg Kolhapuri
Vindaloo,Vindaloo
Ghebar or Ghevar,Ghebar or Ghevar
Lilva Kachori,Lilva Kachori
Magaj,Magaj
Cheera Doi,Cheera Doi
Dhup Pitha,Dhup Pitha
Gheela Pitha,Gheela Pitha
Hurum,Hurum
Khar,Khar
Kumol Sawul,Kumol Sawul
Loskora,Loskora
Coconut Laddu,Coconut Laddu
Luchi,Luchi
Malpua,Malpua
Malpoa,Malpoa
Momo,Momo
Muri Naaru,Muri Naaru
Pani Tenga,Pani Tenga
Sunga Pitha,Sunga Pitha
Alu Pitika,Alu Pitika
Masor tenga,Masor tenga
Bengena Pitika,Bengena Pitika
Bilahi Maas,Bilahi Maas
Black rice,Black rice
Bora Sawul,Bora Sawul
Brown Rice,Brown Rice
Chhenagaja,Chhenagaja
Chhenapoda,Chhenapoda
Chingri malai curry,Chingri malai curry
Dal,Dal
Goja,Goja
Hando Guri,Hando Guri
Haq Maas,Haq Maas
Horioh Maas,Horioh Maas
Ilish or Chingri Bhape,Ilish or Chingri Bhape
Kharoli,Kharoli
Khorisa,Khorisa
Koldil Chicken,Koldil Chicken
Koldil Duck,Koldil Duck
Konir Dom,Konir Dom
Lai Haq Maas,Lai Haq Maas
Litti,Litti
Maasor Tenga,Maasor Tenga
Machher Jhol,Machher Jhol
Masor Koni,Masor Koni
Masor Petu,Masor Petu
Mishti Chholar Dal,Mishti Chholar Dal
Mishti Doi,Mishti Doi
Ou tenga Maas,Ou tenga Maas
Pakhala,Pakhala
Bhaji,Bhaji
Pani Pitha,Pani Pitha
Pantua,Pantua
Payokh,Payokh
Peda,Peda
Prawn malai curry,Prawn malai curry
Red Rice,Red Rice
Rice,Rice
Rosgulla,Rosgulla
Sabzi,Sabzi
curry,curry
Shondesh,Shondesh
Shukto,Shukto
Sunga Pork,Sunga Pork
Tenga Doi,Tenga Doi
Til Pitha,Til Pitha
curry,curry
Paneer Tikka Wrap,Paneer Tikka Wrap
Paneer Wrap,Paneer Wrap
Dakhni Chicken Wrap,Dakhni Chicken Wrap
Chicken Seekh Wrap,Chicken Seekh Wrap
Paneer Zafrani,Paneer Zafrani
Paneer Malai,Paneer Malai
American Corn Malai,American Corn Malai
Cheese Stuffed Mushroom,Cheese Stuffed Mushroom
Chicken Tikka Sigriwala,Chicken Tikka Sigriwala
Chicken Pudina,Chicken Pudina
Chicken Tandoori,Chicken Tandoori
Chicken Mirza,Chicken Mirza
Pepper Chicken,Pepper Chicken
Veg. Jalfrezi Medley,Veg. Jalfrezi Medley
Karori Paneer Changezi,Karori Paneer Changezi
Mushroom Peas Masala,Mushroom Peas Masala
Methi Matar Malai,Methi Matar Malai
Veg. Makhani,Veg. Makhani
Dal Fry,Dal Fry
Dal Bukhara,Dal Bukhara
Kitunguu Murgh,Kitunguu Murgh
Butter Chicken Special,Butter Chicken Special
Murgh Adraki,Murgh Adraki
Chicken Kadhai,Chicken Kadhai
Kashimiri Gosht,Kashimiri Gosht
Mutton Chop Kurry,Mutton Chop Kurry
Chef's Special Mutton Masala,Chef's Special Mutton Masala
Chicken Tikka Masala,Chicken Tikka Masala
Breads,Breads
Tandoori Roti,Tandoori Roti
Butter Naan,Butter Naan
Garlic Naan,Garlic Naan
Irani Paratha,Irani Paratha
Wheat Lachha Paratha,Wheat Lachha Paratha
Plain Naan,Plain Naan
Combos,Combos
Malai Phirni,Malai Phirni
Beverages,Beverages
Bisleri,Bisleri
Diet Coke,Diet Coke
Coke,Coke
Tandoori Chicken,Tandoori Chicken
Chicken Kalimiri Tandoor,Chicken Kalimiri Tandoor
Chicken Tangdi Kebab,Chicken Tangdi Kebab
Chicken Tikka,Chicken Tikka
Chicken Malai Tikka,Chicken Malai Tikka
Chicken Achari Tikka,Chicken Achari Tikka
Chicken Pudina Kebab,Chicken Pudina Kebab
Chicken Banjara Kebab,Chicken Banjara Kebab
Chicken Seekh Kebab,Chicken Seekh Kebab
Chicken Special Sholay Kebab,Chicken Special Sholay Kebab
Assorted Chicken Platter,Assorted Chicken Platter
Aloo Tandoori,Aloo Tandoori
Mushroom Tikka,Mushroom Tikka
Hara Bhara Kebab,Hara Bhara Kebab
Shami Kebab,Shami Kebab
Veg. Seekh Kebab,Veg. Seekh Kebab
Paneer Tikka,Paneer Tikka
Paneer Malai Tikka,Paneer Malai Tikka
Paneer Lahori Tikka,Paneer Lahori Tikka
Paneer Achari Tikka,Paneer Achari Tikka
Paneer Chatni Tikka,Paneer Chatni Tikka
Mix Veg. Platter,Mix Veg. Platter
Dal Fry,Dal Fry
Dal Tadka,Dal Tadka
Dal Makhani,Dal Makhani
