Value,Variants,
Bakester,Bakester,
Sitara Grand,Sitara Grand,
Kaffee Mast Hai,Kaffee Mast Hai,
Copper Lounge Bar,Copper Lounge Bar,
The Mix,The Mix,
Saleem's,Saleem's,
Shimmers,Shimmers,
South Indies,South Indies,
BLU - Aauris,BLU - Aauris,
Deja Vu - The Cafe Lounge,Deja Vu - The Cafe Lounge,
Coffee On Canvas,Coffee On Canvas,
Polo Club - The Oberoi Hotel,Polo Club - The Oberoi Hotel,
Happy Endings,Happy Endings,
Eggspectation,Eggspectation,
Cafe Sinciti (Chill'm),Cafe Sinciti (Chill'm),
Smiley House,Smiley House,
The Farm,The Farm,
Dana Restaurant,Dana Restaurant,
Masabaa Lounge,Masabaa Lounge,
Masabaa Lounge,Masabaa Lounge,
Shudh Vegetarian Food Court,Shudh Vegetarian Food Court,
Molecule - Taj Tristar,Molecule - Taj Tristar,
Novotel,Novotel,
Yauatcha,Yauatcha,
Five Spice,Five Spice,
Eagle Boys Pizza,Eagle Boys Pizza,
Numeron Restaurant,Numeron Restaurant,
Paramount Restaurant,Paramount Restaurant,
Delicia,Delicia,
SP's Biryani,SP's Biryani,
Kapila Garden Restaurant,Kapila Garden Restaurant,
Roomali - High Gates Hotel,Roomali - High Gates Hotel,
The Joint,The Joint,
Cocoparra,Cocoparra,
Pouring Barrels,Pouring Barrels,
Maison Des Desserts,Maison Des Desserts,
Mishra's,Mishra's,
China Gate,China Gate,
18 James Long,18 James Long,
Ginger,Ginger,
The Dhaba,The Dhaba,
The Rasoi,The Rasoi,
Rico's,Rico's,
Khaogalli,Khaogalli,
Gokul Chaat,Gokul Chaat,
ROFL,ROFL,
Rassaa - Jasa Hava Tassaa,Rassaa - Jasa Hava Tassaa,
Desee Dakshin,Desee Dakshin,
Basil,Basil,
Anchor Bar & Kitchen,Anchor Bar & Kitchen,
Coopers Grill & Bar,Coopers Grill & Bar,
Kadambam Iyengar Cuisine,Kadambam Iyengar Cuisine,
Limelight Restaurant & Bar,Limelight Restaurant & Bar,
Silver Leaf Bistro,Silver Leaf Bistro,
Kharoli - The Assamese Kitchen,Kharoli - The Assamese Kitchen,
Levels,Levels,
The Post Office Cafe,The Post Office Cafe,
Colors N Flavors,Colors N Flavors,
Black Mug Cafe ,Black Mug Cafe ,
Tab 01 Kitchen & Lounge,Tab 01 Kitchen & Lounge,
Fat Lulu's,Fat Lulu's,
Indigo,Indigo,
New Sarovar Restaurant,New Sarovar Restaurant,
Preets Punjabi Swad,Preets Punjabi Swad,
Spice Kraft,Spice Kraft,
Eatmosphere,Eatmosphere,
Gallops,Gallops,
Ikko,Ikko,
Karavalli,Karavalli,
Escape Terrace Bar And Kitchen,Escape Terrace Bar And Kitchen,
Londoners,Londoners,
Public Affair,Public Affair,
Hidden Place The Crazy Frog,Hidden Place The Crazy Frog,
English Channel,English Channel,
Tatva - Country Inn & Suites by Carlson,Tatva - Country Inn & Suites by Carlson, Sahibabad
Oryzza,Oryzza,
Sri Kesar,Sri Kesar,
Kaffeine,Kaffeine,
Uber Deq,Uber Deq,
Sri Navami,Sri Navami,
Bistro By The Park,Bistro By The Park,
Ottimo - ITC Gardenia,Ottimo - ITC Gardenia,
Blue Sapphire,Blue Sapphire,
Highnote Bar & Dining,Highnote Bar & Dining,
Rugved Veg Mantra,Rugved Veg Mantra,
Deja Vu,Deja Vu,
Banjara Bar & Restaurant,Banjara Bar & Restaurant,
Lakhori - Haveli Dharampura,Lakhori - Haveli Dharampura,
By The Way,By The Way,
The Royal Plaza,The Royal Plaza,
Dilli Treat,Dilli Treat,
Turque,Turque,
The Eatery - Four Points By Sheraton,The Eatery - Four Points By Sheraton,
Delicacy,Delicacy,
Karachi Bakery,Karachi Bakery,
N Asian,N Asian,
The Melting Pot,The Melting Pot,
Mugshot,Mugshot,
The Fisherman's Deck,The Fisherman's Deck,
KhanaSutra - Park Prime Kolkata,KhanaSutra - Park Prime Kolkata,
Shaolin,Shaolin,
Bhagini Deluxe,Bhagini Deluxe,
Samruddhi Family Restaurant,Samruddhi Family Restaurant,
Sevilla - The Claridges,Sevilla - The Claridges,
Indian Bistro Company,Indian Bistro Company,
Hunan,Hunan,
Viva - All Day Dining - Holiday Inn,Viva - All Day Dining - Holiday Inn,
Mazzedar,Mazzedar,
Kafe Bindass,Kafe Bindass,
Kabab Brigade,Kabab Brigade,
MM! Maroosh,MM! Maroosh,
The Square - Novotel,The Square - Novotel,
Backbencherz Cafe,Backbencherz Cafe,
1522 - The Pub,1522 - The Pub,
Waffle - The Umrao,Waffle - The Umrao,
Chalkboard Kitchen and Cafe,Chalkboard Kitchen and Cafe,
Big Yellow Door,Big Yellow Door,
China Bowl  ,China Bowl  ,
Grill Square,Grill Square,
The Common Room,The Common Room,
Hangout Cafe,Hangout Cafe,
Aaheli,Aaheli,
Noottee Resto Bar & Lounge,Noottee Resto Bar & Lounge,
The Palette,The Palette,
Lighthouse 13,Lighthouse 13,
The Kylin Experience - Holiday Inn,The Kylin Experience - Holiday Inn,
Chung Fa,Chung Fa,
Cafe 24*7,Cafe 24*7,
La Casa,La Casa,
Marco Polo,Marco Polo,
Rasna Restaurant,Rasna Restaurant,
Favola - Le Meridien,Favola - Le Meridien,
Cafe Mocha 35 mm,Cafe Mocha 35 mm,
Barichi Bar & Restaurant,Barichi Bar & Restaurant,
Rosenberg,Rosenberg,
Aye 1 Dhaba,Aye 1 Dhaba,
Hotel Ranmala,Hotel Ranmala,
Red Chillies,Red Chillies,
Alfresco - The LaLit Great Eastern Kolkata,Alfresco - The LaLit Great Eastern Kolkata,
Khanabadosh,Khanabadosh,
Carrots N Celery - Sun N Sand Hotel,Carrots N Celery - Sun N Sand Hotel,
Blue Tree,Blue Tree,
Spotlight - Golden Tulip Bangalore,Spotlight - Golden Tulip Bangalore,
Cafe Kangaroos,Cafe Kangaroos,
Mosaic - Country Inn & Suites By Carlson,Mosaic - Country Inn & Suites By Carlson,
Cheelizza,Cheelizza,
Bliss,Bliss,
Mighty Small,Mighty Small,
Su Swagatam,Su Swagatam,
The Potbelly,The Potbelly,
Ristorante Prego ,Ristorante Prego ,
U D Residency,U D Residency,
Seasons The Restaurant,Seasons The Restaurant,
Wadeshwar,Wadeshwar,
My Cafe Latte,My Cafe Latte,
Kwaliti Foods & Caterers,Kwaliti Foods & Caterers,
Draught House ,Draught House ,
Wang's Kitchen,Wang's Kitchen,
512 Multi Cuisine Restaurant,512 Multi Cuisine Restaurant,
The Selfie Latte,The Selfie Latte,
Sante - Novotel,Sante - Novotel,
