value,variants
Andheri,Andheri
Amboli,Amboli
Chakala,Chakala
Four Bungalows,Four Bungalows
JB Nagar,JB Nagar
Lokhandwala,Lokhandwala
Marol,Marol
Model Town,Model Town
Oshiwara,Oshiwara
Poonam Nagar,Poonam Nagar
Sahar,Sahar
Saki Naka,Saki Naka
Seven Bungalows,Seven Bungalows
Versova,Versova
Bandra,Bandra
Bandra Kurla Complex,Bandra Kurla Complex
Bandstand Promenade,Bandstand Promenade
Gandhi Nagar,Gandhi Nagar
Kherwadi,Kherwadi
Lands End,Lands End
Pali Hill,Pali Hill
Borivali,Borivali
Eksar Colony,Eksar Colony
Shimpoli,Shimpoli
Magathane,Magathane
Nancy Colony,Nancy Colony
Sukurwadi,Sukurwadi
Gorai,Gorai
Kora Kendra,Kora Kendra
Vazira,Vazira
Babhai,Babhai
Chikuwadi,Chikuwadi
Dahisar,Dahisar
Goregaon,Goregaon
Aarey Milk Colony,Aarey Milk Colony
Bangur Nagar,Bangur Nagar
Gokuldham,Gokuldham
Jogeshwari,Jogeshwari
Juhu,Juhu
Kandivali,Kandivali
Charkop,Charkop
Poinsur,Poinsur
Thakur Village,Thakur Village
Mahavir Nagar,Mahavir Nagar
Khar,Khar
Malad,Malad
Dindoshi,Dindoshi
Sunder Nagar,Sunder Nagar
Santacruz,Santacruz
SEEPZ,SEEPZ
Vile Parle,Vile Parle
Irla,Irla
Eastern Suburbs,Eastern Suburbs
Bhandup,Bhandup
Ghatkopar,Ghatkopar
Amrut Nagar,Amrut Nagar
Asalfa,Asalfa
Garodia Nagar,Garodia Nagar
Jagdusha Nagar,Jagdusha Nagar
Pant Nagar,Pant Nagar
Kanjurmarg,Kanjurmarg
Kurla,Kurla
Nehru Nagar,Nehru Nagar
Mulund,Mulund
Powai,Powai
Chandivali,Chandivali
Hiranandani Gardens,Hiranandani Gardens
Indian Institute of Technology Bombay campus,Indian Institute of Technology Bombay campus
IITB,IITB
Vidyavihar,Vidyavihar
