number,name_variants,number_value,number_type
০,শুন্য|Shunyo|Sunya,0,unit
১,এক|Ek|Eka,1,unit
২,দুই|Dui|Duto,2,unit
৩,তিন|Tin|Tinte,3,unit
৪,চার|Char|Charte,4,unit
৫,পাঁচ|Panch|Ponchom|Panchte,5,unit
৬,ছয়|Choi|Choita,6,unit
৭,সাত|Sat|Satte,7,unit
৮,আট|Aat|Aatte,8,unit
৯,নয়|Noya|Noyta,9,unit
১০,দশ|Das|Doshta|Dos,10,unit
১১,এগারো|Egaro|Egarota,11,unit
১২,বারো|Baro|Barota,12,unit
১৩,তেরো|Tero|Terota,13,unit
১৪,চৌদ্দ|Choddo|Choddota,14,unit
১৫,পনেরো|Ponero|Panero|Ponerota,15,unit
১৬,ষোল|Sollo|Sola,16,unit
১৭,সতেরো|Satero|Sotero,17,unit
১৮,আঠারো|Atharo|Atharota,18,unit
১৯,ঊনিশ|Unes|Uneso,19,unit
২০,বিশ|Bees|Kudi,20,unit
২১,একুশ|Ekus,21,unit
২২,বাইশ|Baisa|Bais|Baish,22,unit
২৩,তেইশ|Teis|Teiso,23,unit
২৪,চব্বিশ|Chobis|Chobbis,24,unit
২৫,পঁচিশ|Ponchis|Pochis,25,unit
২৬,ছাব্বিশChobbis|Chobbiso|Chobis,26,unit
২৭,সাতাশ|Shotaish|Satas,27,unit
২৮,আঠাশ|Ataish|Athas|Athasa,28,unit
২৯,ঊনত্রিশ|Unatris|Unatrisho|Unatrisha|Unatrisa,29,unit
৩০,ত্রিশ|Tris|Tiris|Trisish,30,unit
৩১,একত্রিশ|Ektrish|Ektirish,31,unit
৩২,বত্রিশ|Batrish|Batirish|Batrish,32,unit
৩৩,তেত্রিশ|Tetrish|Tetris|Tetrisho,33,unit
৩৪,চৌত্রিশ|Chautrish|Chotrish|Chautris,34,unit
৩৫,পঁয়ত্রিশ|Poithrish|Poitrish|Poitris,35,unit
৩৬,ছত্রিশ|Chotrish|Chautris|Chautris|Chatris|Chatrish,36,unit
৩৭,সাইত্রিশ|Saitrish|Soitrish|Soitris|Saitris,37,unit
৩৮,আটত্রিশ|Atatirsh|Atatris|Atatrish,38,unit
৩৯,ঊনচল্লিশ|Unchalish|Uncallis|Unchollish,39,unit
৪০,চল্লিশ|Chollish|Cholis|Callis|Callish,40,unit
৪১,একচল্লিশ|EkaChollish|EkCholis|EkaCallis|EkaCallish,41,unit
৪২,বিয়াল্লিশ|Beyalish|Bayalis|Biyallis,42,unit
৪৩,তেতাল্লিশ|Tetalish|Tetallis|Tetalliso,43,unit
৪৪,চুয়াল্লিশ|Chaualish|Cuyalish|Cuyalis,44,unit
৪৫,পঁয়তাল্লিশ|Pointalish|Pantalish|Pointalis,45,unit
৪৬,ছেচল্লিশ|Cheyalish|Checallis|Choialish,46,unit
৪৭,সাতচল্লিশ|Chontalish|Satacallis|Chantalish,47,unit
৪৮,আটচল্লিশ|Atacholish|Atacallis|Atachalish|Atcholish,48,unit
৪৯,ঊনপঞ্চাশ|Unpanchas|Unponchas|Unpanchash,49,unit
৫০,পঞ্চাশ|Ponchas|Pancas,50,unit
৬০,ষাট|Sat|Shat|Shot,60,unit
৭০,সত্তর|Sottor|Shottor|Sattar,70,unit
৮০,আশি|Asi|Asshi,80,unit
৯০,নব্বই|Nobboi|Nabbai|Nabai,90,unit
১০০,একশো|Ekso|Ekaso,100,scale
১০০০,এক হাজার|Ekhajar,1000,scale
১০০০০০,এক লাখ|EkLakh,100000,scale
১০০০০০০০,এক কোটি|Ek Koti,10000000,scale
