number,name_variants,number_value,number_type
૦,શૂન્ય|shunya|sunya,0,unit
૧,એક|ek,1,unit
૨,બે|be|bey,2,unit
૩,ત્રણ|tran|tain,3,unit
૪,ચાર|char|chaar,4,unit
૫,પાંચ|panch|paanch,5,unit
૬,છ|chha|chcha,6,unit
૭,સાત|sat|saat,7,unit
૮,આઠ|ath|aath|aanth,8,unit
૯,નવ|nav,9,unit
૧૦,દસ|das|dus,10,unit
૧૧,અગિયાર|agiyar|agyar|agiyaar|agyaar,11,unit
૧૨,બાર|bar|baar,12,unit
૧૩,તેર|ter|tair,13,unit
૧૪,ચૌદ|chaud,14,unit
૧૫,પંદર|pandar,15,unit
૧૬,સોળ|sol|sod,16,unit
૧૭,સત્તર|sattar,17,unit
૧૮,અઢાર|adhar|adhaar,18,unit
૧૯,ઓગણિસ|oganis|ognis|oganees|ognees,19,unit
૨૦,વીસ|vis|vees,20,unit
૨૧,એકવીસ|ekavis|ekvis|ekavees|ekvees,21,unit
૨૨,બાવીસ|bavis|bavees,22,unit
૨૩,તેવીસ|tevis|tevees|trevis|trevees,23,unit
૨૪,ચોવીસ|chovis|chovees|chauvis|chauvees,24,unit
૨૫,પચ્ચીસ|pachis|pachchis|pachees|pachchees,25,unit
૨૬,છવીસ|chavis|chavees|chhavis|chhavees,26,unit
૨૭,સત્તાવીસ|sattavis|sattavees|satyaavis|satyaavees|satavis|satavees|satyavis|satyavees,27,unit
૨૮,અઠ્ઠાવીસ|athavis|athavees|aththavis|aththavees|athyavis|athyavees|athyaavis|athyaavees,28,unit
૨૯,ઓગણત્રીસ|oganatris|oganatrees|ogantris|ogantrees,29,unit
૩૦,ત્રીસ|tris|trees,30,unit
૩૧,એકત્રીસ|ekatris|ekatrees,31,unit
૩૨,બત્રીસ|batris|batrees,32,unit
૩૩,તેત્રીસ|tetris|tetrees,33,unit
૩૪,ચોત્રીસ|chotris|chotrees|chautris|chautrees,34,unit
૩૫,પાંત્રીસ|pantris|pantrees|paantris|paantrees,35,unit
૩૬,છત્રીસ|chhatris|chhatrees|chatris|chatrees,36,unit
૩૭,સડત્રીસ|sadatris|sadatrees|saadatris|saadatrees,37,unit
૩૮,અડત્રીસ|adatris|adatrees|aadatris|aadatrees,38,unit
૩૯,ઓગણચાલીસ|oganachalis|oganachalees|oganchalis|oganchalees,39,unit
૪૦,ચાલીસ|chalis|chalees|chaalis|chaalees,40,unit
૪૧,એકતાલીસ|ekatalis|ekatalees|ektalis|ektalees,41,unit
૪૨,બેતાલીસ|betalis|betalees,42,unit
૪૩,ત્રેતાલીસ|tretalis|tretalees,43,unit
