number,name_variants,number_value,number_type
०,शून्य|Shunya,0,unit
१,एक|Ek|Ik,1,unit
१.५,दीड|दिध|दीद|ढीद|Didha|Dhid|Dhid,1.5,unit
२,दोन|don,2,unit
२.५,आधिज|आधीच|aadhij,2.5,unit
३,तीन|tin|teen,3,unit
४,चार|char,4,unit
५,पाच|pach,5,unit
६,सहा|saha|saa,6,unit
७,सात|saat|sat,7,unit
८,आठ|aath,8,unit
९,नऊ|nau,9,unit
१०,दहा|Daha,10,unit
११,अकरा|Akara|Akkara,11,unit
१२,बारा|Bara|Baara,12,unit
१३,तेरा|Tera,13,unit
१४,चौदा|chauda,14,unit
१५,पंधरा|Pandhara|Pandra|Pandara,15,unit
१६,सोळा|Sola,16,unit
१७,सतरा|Satara|Satra,17,unit
१८,अठरा|Athara|Athra|Atra,18,unit
१९,एकोणीस|ekonis|econis,19,unit
२०,वीस|Vis,20,unit
२१,एकवीस|Ekavis|Ekvis,21,unit
२२,बावीस|Bavis|Baavis,22,unit
२३,तेवीस|Tevis,23,unit
२४,चोवीस|chauwis|chauvis|chovis|chowis,24,unit
२५,पंचवीस|panchavis|panchvis,25,unit
२६,सव्वीस|Savvis|Sauvis,26,unit
२७,सत्तावीस|Sattavis,27,unit
२८,अठ्ठावीस|Aththavis|Attavis,28,unit
२९,एकोणतीस|Ekonatis|Ekontis,29,unit
३०,तीस|Tees|Tis,30,unit
३१,एकतीस|ektis|ektees,31,unit
३२,बत्तीस|Battis,32,unit
३३,तेहेतीस|Tehetis|tettis,33,unit
३४,चौतीस|chautis,34,unit
३५,पस्तीस|pastis,35,unit
३६,छत्तीस|Chattis,36,unit
३७,सदतीस|sadatis|sadotis,37,unit
३८,अडतीस|adatis|adotis,38,unit
३९,एकोणचाळीस|ekonachalis|ekonchalis|econchalis,39,unit
४०,चाळीस|chalis,40,unit
४१,एक्केचाळीस|ekkechalis|Akkechalis,41,unit
४२,बेचाळीस|bechalis,42,unit
४३,त्रेचाळीस|trechalis,43,unit
४४,चव्वेचाळीस|chavvechalis|chavechalis|chavrechalis,44,unit
४५,पंचेचाळीस|pamchechalis|panchechalis,45,unit
४६,सेहेचाळीस|sehechalis|Sechalis,46,unit
४७,सत्तेचाळीस|sattechalis,47,unit
४८,अठ्ठेचाळीस|aththechalis,48,unit
४९,एकोणपन्नास|ekonapannas|ekonpannas,49,unit
५०,पन्नास|pannas,50,unit
५१,एक्कावन्न|ekkavann|ekkavan,51,unit
५२,बावन्न|bavann|bavan,52,unit
५३,त्रेपन्न|trepann|trepan,53,unit
५४,चोपन्न|chopann|chaupan|chopan,54,unit
५५,पंचावन्न|pamchavann|panchavan,55,unit
५६,छप्पन्न|Chappann|chappan,56,unit
५७,सत्तावन्न|sattavann|Sattavan,57,unit
५८,अठ्ठावन्न|aththavann|aththavan|Attavan,58,unit
५९,एकोणसाठ|ekonasath|ekonasat|ekonsath,59,unit
६०,साठ|sath,60,unit
६१,एकसष्ठ|ekasashth|ekshasth,61,unit
६२,बासष्ठ|basashth|Basath|Besashth,62,unit
६३,त्रेसष्ठ|tresashth|Tresath,63,unit
६४,चौसष्ठ|chausashth|chausath,64,unit
६५,पासष्ठ|pasashth|Pasath,65,unit
६६,सहासष्ठ|sahasashth|Sahasath,66,unit
६७,सदुसष्ठ|sadusashth|sadusath|sadosashth,67,unit
६८,अडुसष्ठ|adusashth|adusath|adosashth,68,unit
६९,एकोणसत्तर|ekonsattar|ekunsattar,69,unit
७०,सत्तर|sattar,70,unit
७१,एक्काहत्तर|ekkahattar|ekattar,71,unit
७२,बाहत्तर|bahattar|Baattar,72,unit
७३,त्र्याहत्तर|tryahattar|tryattar,73,unit
७४,चौर्‍याहत्तर|chauryahattar|chauryattar,74,unit
७५,पंच्याहत्तर|pamchyahattar|panchattar,75,unit
७६,शहात्तर|shahattar|shattar,76,unit
७७,सत्याहत्तर|satyahattar|Satyattar,77,unit
७८,अठ्ठ्याहत्तर|aththyahattar|atthyattar ,78,unit
७९,एकोण ऐंशी|ekon aimshi|ekon anshi|ekonainshi,79,unit
८०,ऐंशी|Aenshi,80,unit
८१,एक्क्याऐंशी|ekkyaaimshi|Ekkyanshi,81,unit
८२,ब्याऐंशी|byaaimshi|byanshi,82,unit
८३,त्र्याऐंशी|Tryaaimshi|Tryaanshi,83,unit
८४,चौऱ्याऐंशी|chauryaaimshi|chauryanshi,84,unit
८५,पंच्याऐंशी|pamchyaaimshi|Panchyanshi,85,unit
८६,शहाऐंशी|shahaaimshi|Shaynshi|Shahaainshi,86,unit
८७,सत्त्याऐंशी|sattyaaimshi|satyanshi,87,unit
८८,अठ्ठ्याऐंशी|aththyaaimshi|athyanshi|aththyaainshi,88,unit
८९,एकोणनव्वद|ekonanavvad|ekonnavvad,89,unit
९०,नव्वद|navvad|navad,90,unit
९१,एक्क्याण्णव|ekkyannav,91,unit
९२,ब्याण्णव|byannav,92,unit
९३,त्र्याण्णव|tryannav,93,unit
९४,चौऱ्याण्णव|chauryannav|chauryanav,94,unit
९५,पंच्याण्णव|pamchyannav|panchyanav,95,unit
९६,शहाण्णव|shahannav|shyanav,96,unit
९७,सत्त्याण्णव|sattyannav,97,unit
९८,अठ्ठ्याण्णव|aththyannav|athyanav,98,unit
९९,नव्व्याण्णव|navvyannav|navyannav|navvyanav,99,unit
१००,शंभर|shambhar|shambar,100,scale
१०००,हजार|hazar|hajar|hajaar|hazaar,1000,scale
१०००००,लाख|Lakh,100000,scale
१०००००००,कोटी|koti,10000000,scale
