key,numeric_representation,date_type
આજે|આજ|aaj|aje|aaje,0,relative_date
કાલ|કાલે|kal|kale|kaal|kaale,1,relative_date
પરમદિવસ|પરમદિવસે|paramdivse|paramdivas,2,relative_date
તારીખ|તારીખે|tareekh|tarikh|tarikhe|tarikhey,NA,month_date_ref
દિવસ|દિવસે|din|dino|divas|divase|divasey,NA,date_literal
મહિનો|મહિના|મહિને|months|month|mahina|mahine|mahino|mahina,NA,month_literal
સોમવાર|સોમવારે|monday|somvar|somwar|somvare|somware,0,weekday
મંગળવાર|મંગળવારે|tuesday|mangadvar|mangadwar|mangalwar|mangadvare|mangadware|mangalware,1,weekday
બુધવાર|બુધવારે|wednesday|budhvar|budhwar|budhware|budhvare,2,weekday
ગુરુવાર|ગુરુવારે|thursday|guruvar|guruwar|guroovaar|guroowar|guroovar|brihaspativar|brihaspatiwar|guruvare|guruware,3,weekday
શુક્રવાર|શુક્રવારે|friday|shukravar|shukrawar|sukravar|sukrawar|shukravare|shukraware,4,weekday
શનિવાર|શનિવારે|saturday|shanivar|shaniwar|saniwar|sanivar|shanivare|shaniware,5,weekday
રવિવાર|રવિવારે|sunday|ravivar|raviwar|ravivare|raviware,6,weekday
જાન્યુઆરી|january|jan,1,month
ફેબ્રુઆરી|february|feb|febuary,2,month
માર્ચ|march|mar,3,month
એપ્રિલ|april|apr,4,month
મે|may,5,month
જૂન|જૂને|june|jun,6,month
જુલાઈ|july|jul,7,month
ઓગસ્ટ|ઑગષ્ટ|august|aug,8,month
સપ્ટેમ્બર|september|sept|sep,9,month
ઓક્ટોબર|october|oct,10,month
નવેમ્બર|november|nov,11,month
ડિસેમ્બર|december|dec,12,month
