key,numeric_representation
૧|એક|પેલી|pahli|pehlo|pelo|peli|pali|pelli,1
૨|બે|be|bijo|biji|beeji|beejo,2
૩|ત્રણ|tran|triji|trijo,3
૪|ચાર|char|chauthi|chautha|choutha|chouthi|chauthe|chouthe|chautho|chothi|chotho|chotha,4
૫|પાંચ|paanch|panch|paanchmi|panchmi|paanchme|panchme|paanchma|panchma|pachmi|paach,5
૬|છ|chhe|chhah|chhatvi|chhatva|chhatve|chhata|chhathvi|chhathva|chhathve|chhatha|chhathi|chhatthi|chhathi|chathi,6
૭|સાત|saat|saatma|satma|saatme|satme|saatmi|satmi,7
૮|આઠ|aath|aathmi|aathma|aathme|athmi|aathmi|athami,8
૯|નવ|nau|nauma|naume|naumi|naumi|navmi,9
૧૦|દસ|dus|das|dasmi|dusmi|dasme|dusme|dasma|dusma|dusmo|dasmi|dasmo,10
૧૧|અગિયાર|agyar|agyarma|agyarmi,11
૧૨|બાર|bar|baar|barman|barma|barmi|bare,12
૧૩|તેર|ter|termi|terami,13
૧૪|ચૌદ|chaudmi|chaud,14
૧૫|પંદર|pandar|pandarmi,15
૧૬|સોળ|sol|sol|solmi|sodmi|sod,16
૧૭|સત્તર|sattar|satar|satarmi|satare,17
૧૮|અઢાર|adhar|adharmi|athar|atharmi,18
૧૯|ઓગણિસ|ognish|ognishmi|ognishmi|ognismi,19
૨૦|વીસ|vees|vis|veeshmi|vismi,20
૨૧|એકવીસ|ekvis|ekvismi|ekvish|ekvishmi,21
૨૨|બાવીસ|baavish|bavish|bavis|bavismi,22
૨૩|તેવીસ|trevish|travish|trevis|trevismi,23
૨૪|ચોવીસ|chauvis|choubis|chauvish|chouvish|chovis|chauvismi|chauvishmi,24
૨૫|પચ્ચીસ|pacchish|pachish|pachis|pacchis|pachhis|pachhish|pachismi|pacchismi,25
૨૬|છવીસ|chhavish|chhavis|chhavismi|chavismi,26
૨૭|સત્તાવીસ|satyavis|satyavish|satyavis|satyavismi,27
૨૮|અઠ્ઠાવીસ|atthyavis|athyavish|athyavis|atthyavis|athyavismi|athyavis,28
૨૯|ઓગણત્રીસ|ogantris|ogantrees|ogantrismi|ogantreesmi,29
૩૦|ત્રીસ|trees|treesh|tris|trees|trismi|treesmi,30
૩૧|એકત્રીસ|ikattrish|ekkatrish|ikatrish|ikatris|ekatris|ekatrismi,31
૧.૫|દોઢ|ડોઢ|dodh|dhod,1.5
૨.૫|અઢી|adhaai|adaai|adhi|adi,2.5
