key,numeric_representation,date_type
आज|aaj,0,relative_date
कल|kal,1,relative_date
परसों|परसो|parson|parso,2,relative_date
नर्सों|नर्सो|narson|narso,3,relative_date
तारीख|तारिख|tareekh|tarikh,NA,month_date_ref
दिन|दिनों|din|dino,NA,date_literal
महीना|महीने|महीनो|महीनों|months|month|mahina|mahine|mahino|mahina,NA,month_literal
सोमवार|monday|somvar|somwar,0,weekday
मंगलवार|tuesday|mangalvar|mangalwar,1,weekday
बुधवार|wednesday|budhvar|budhwar,2,weekday
गुरुवार|बृहस्पतिवार||thursday|guruvar|guruwar|guroovaar|guroowar|guroovar|brihaspativar|brihaspatiwar,3,weekday
शुक्रवार|friday|shukravar|shukrawar|sukravar|sukrawar,4,weekday
शनिवार|saturday|shanivar|shaniwar|saniwar|sanivar,5,weekday
रविवार|sunday|ravivar|raviwar,6,weekday
जन.|जन|जनवरी|january|jan,1,month
फेब्रुअरी|फरवरी|फ़र.|फ़र|फ़रवरी|february|feb|febuary,2,month
मार्च|मार्च.|march|mar,3,month
अप्रैल|अप्रै.|अप्रै|april|apr,4,month
मई|मई.|may,5,month
जून|जून.|june|jun,6,month
जुलाई|जुल.|जुल|july|jul,7,month
अगस्त|अग.|अग|अगस्त|august|aug,8,month
सितम्बर|सित.|सित|september|sept|sep,9,month
अक्टूबर|अक्टू.|अक्टू|october|oct,10,month
नवंबर|नव.|नव|नवम्बर|november|nov,11,month
दिसंबर|दिस.|दिस|दिसम्बर|december|dec,12,month
