key,numeric_representation
ek|pahli|pehli,1
do|doosra|dusra|doosri|dusri|doosre|dusre,2
teen|teesra|tisra|teesre|tisre|teesri|tisri,3
char|chauthi|chautha|choutha|chouthi|chauthe|chouthe,4
paanch|panch|paanchvi|panchvi|paanchve|panchve|paanchva|panchva,5
chhe|chhah|chhatvi|chhatva|chhatve|chhata|chhathvi|chhathva|chhathve|chhatha,6
saat|saatva|satva|saatve|satve|saatvi|satvi,7
aath|aathvi|aathva|aathve,8
nau|nauva|nauve|nahla|nehla|naumi|nauvi,9
dus|das|dasvi|dusvi|dasve|dusve|dasva|dusva,10
gyarah|gyarva|gyarvi,11
barah|barvan|barva|barvi|bareh,12
terah|teravi|terahvi,13
chaudah|chauda,14
pandrah|pandra,15
solah|sola|sholah|shola,16
satrah|satra,17
atharah|athara|atarah|atara,18
unnish|unish,19
bees|beesh,20
ikkish|ikkis|ekish|ekis,21
baaish|baish,22
teish|taish,23
chaubis|choubis|chaubish|choubish,24
pachchish|pachish|pachis|pachchis|pachhis|pachhish,25
chhabish|chhabis,26
sattaish|sataish|satais,27
atthaish|athaish|athais|atthais,28
untish|unteesh|untis|untees,29
tees|treesh,30
ikattish|ekkatish|ikatish|ikatis|ekatis,31
