key,numeric_representation
१|एक|पहली|पहला|ek|pahli|pehli|pehla|pahla,1
२|दो|दूसरा|दूसरी|दूसरे|do|doosra|dusra|doosri|dusri|doosre|dusre,2
३|तीन|तीसरा|तीसरे|तीसरी|tin|teen|teesra|tisra|teesre|tisre|teesri|tisri,3
४|चार|चौथी|चौथा|चौथे|char|chauthi|chautha|choutha|chouthi|chauthe|chouthe,4
५|पांच|पांचवी|पांचवीं|पाँचवीं|पॉंचवी|पांचवा|पाँचवा|पांचवे|पाँचवे|paanch|panch|paanchvi|panchvi|paanchve|panchve|paanchva|panchva,5
६|छे|छह|छटवी|छठवी|छठवीं|छटवा|छठवा|छठवाँ|छटवे|छटवें|छठवे|छठवें|chhe|chhah|chhatvi|chhatva|chhatve|chhata|chhathvi|chhathva|chhathve|chhatha,6
७|सात|सातवा|सातवे|सातवें|सातवीं|सातवी|saat|saatva|satva|saatve|satve|saatvi|satvi,7
८|आठ|आठवीं|आठवी|आठवा|आठवां|आठवाँ|आठवे|आठवें|aath|aathvi|aathva|aathve,8
९|नौ|नव|नौवा|नौवां|नौवाँ|नौवे|नौवें|नेहला|नहला|नौमी|नौवीं|नौवी|nau|nauva|nauve|nahla|nehla|naumi|nauvi,9
१०|दस|दसवीं|दसवी|दसवा|दसवां|दसवे|दसवें|dus|das|dasvi|dusvi|dasve|dusve|dasva|dusva,10
११|ग्यारह|ग्याराह|ग्यारवां|ग्यारवाँ|ग्यारवे|ग्यारवें|gyarah|gyarva|gyarvi,11
१२|बारह|बारवा|बारवां|बारवी|बारवीं|बारहवीं|बारहवी|barah|barvan|barva|barvi|bareh,12
१३|तेरह|तेरहवी|तेरहवीं|terah|teravi|terahvi,13
१४|चौदा|चौदह|chaudah|chauda,14
१५|पंदरा|पंद्रह|pandrah|pandra,15
१६|सोला|सोलह|solah|sola|sholah|shola,16
१७|सत्रह|सत्रा|satrah|satra,17
१८|अठारह|अठरह|अठारा|अटारा|atharah|athara|atarah|atara,18
१९|उन्नीस|unnish|unish,19
२०|बीस|बीश|बीष|bees|beesh|bish|bis,20
२१|इक्कीश|इक्कीस|ikkish|ikkis|ekish|ekis,21
२२|बाइश|बाइस|बाईस|बायस|baaish|baish|baaesh|baaes,22
२३|तेईस|तेइश|तैश|तेइस|तेइश|teish|taish,23
२४|चौबीस|चौबीश|chaubis|choubis|chaubish|choubish|chaubeesh|chaubees,24
२५|पच्चीस|पच्चिस|पचीस|पच्चीश|पच्चिश|pachchish|pachish|pachis|pachchis|pachhis|pachhish,25
२६|छबीस|छब्बीस|छबिश|छबीश|chhabish|chhabis|chhabeesh|chhabees,26
२७|सत्ताईश|सत्ताइश|सत्ताईस|सत्ताइस|सत्तेश|sattaish|sataish|satais,27
२८|अठाइस|अठाईस|atthaish|athaish|athais|atthais,28
२९|उन्तिश|उन्तीस|उनतीस|उनतीश|untish|unteesh|untis|untees,29
३०|टीश|तीस|तीष|तीश|tees|treesh,30
३१|इक्कतीस|इक्कातिश|इक्कातिष|इक्कतीश|इक्कतीष|इक्कटिश|ikattish|ekkatish|ikatish|ikatis|ekatis,31
१.५|ढेड़|ढेड|ढ़ेड|धेड़|डेड|डेढ़|डेड़|dedh|dhed,1.5
२.५|ढाई|ढ़ाई|धाइ|धाई|dhaai|daai,2.5
