key,numeric_representation
१|एक|पहिला|ek|Pahila,1
२|दोन|इतर|दुसरा don|Itar|Second ,2
३|तीन|तिसरा|tin|teen|teesra|tisra,3
४|चार|चौथा|चौथी|char|chautha|choutha|chauthi|chouthi,4
५|पाच|पाचवा|पाचवी|Pach|Pachva|Pachwa|Pachwi|Pachvi,5
६|सहा|सहावा|सहावी|saha|Sahava|Sahawi|Sahavi,6
७|सात|सातवा|सातवी|saat|saatva|satva|saatvi|satvi,7
८|आठ|आठवा|आठवी|aath|aathvi|aathva,8
९|नव|नववा|नववी|nau|nauva|nauvi,9
१०|दहा|दहावा|दहावी|Daha|Dahava|Dahavi,10
११|अकरा|अकरावा|अकरावी|Akara|Akarava|Akaravi,11
१२|बारा|बारावा|बारावी|Bara|Barava|Barawa|Barawi|Baravi,12
१३|तेरा|तेरावा|तेरावी|Tera|Terawa|Terawi|Teravi|Terava,13
१४|चौदा|चौदावा|चौदावी|chauda|chaudava|chaudavi|chaudawa|chaudawi,14
१५|पंधरा|पंधरावा|पंधरावी|Pandhara|Pandharava|Pandharavi|Pandharawa|Pandharawi,15
१६|सोळा|सोळावा|सोळावी|Sola|Solava|Solavi|Solawa|Solavi,16
१७|सत्रा|सत्रावा|सत्रावी|satra|Satrava|Satrawa|Satravi|Satrawi,17
१८|अठरा|अठरावा|अठरावी|Athara|Atharawa|Atharawi||Atharava|Atharavi,18
१९|एकोणीस|एकोणीसवा|ekonis|ekonisva|ekoniswa,19
२०|वीस|वीसवा|Vis|Viswa|Visva,20
२१|एकवीस|एकवीसवी|एकवीसवा|ekavis|ekawis|ekavisvi|ekavisva|ekaviswi|ekawisa,21
२२|बावीस|बावीसवी|बावीसवा|bavis|bawis|baviswa|bawiswa|baviswi|bawiswa,22
२३|तेवीस|तेवीसवी|तेवीसवा|Tevis|Tewis|Teviswa|Tewisva|Teviswi|Tewisvi,23
२४|चौवीस|चौवीसवा|चौवीसवी|chauwis|chouvis|chouwisva|chouviswa|chouwisvi|chouviswi,24
२५|पंचवीस|पंचवीसवा|पंचवीसवी|panchavis|panchaviswa|panchaviswi,25
२६|सव्वीस|सव्वीसवा|सव्वीसवी|savvis|savviswa|savviswi,26
२७|सत्तावीस|सत्तावीसवा|सत्तावीसवी|sattavIs|sattaviswa|sattaviswi,27
२८|अठ्ठावीस|अठ्ठावीसवा|अठ्ठावीसवी|Aththavis|Aththawis|Aththaviswa|Aththawisva|Aththaviswi|Aththawisvi,28
२९|एकोणतीस|एकोणतीसवा|एकोणतीसवी|Ekonatis|Ekonatisva|Ekonatiswa|Ekonatiswi|Ekonatisvi,29
३०|तीस|tis,30
३१|एकतीस|Ekatis,31
१.५|दिध|दीद|ढीद|Didha|Dhid|Dhid,1.5
२.५|आधिज|आधीच|aadhij,2.5
