key,numeric_representation,date_type
இன்று|Inru|Indru|Innaki|Inaki,0,relative_date
நாளை|Nalai|Nalaiki|Maru nal,1,relative_date
நாள் கழித்து|Nal kalittu|Nala Kalittu,2,relative_date
Ceviliyarkal,3,relative_date
மீது|Mitu,NA,month_date_ref
நாள்|Nal,NA,date_literal
மதம்|Matam|Madham|,NA,month_literal
திங்கள்|ThingGal|tingal|,0,weekday
செவ்வாய்|Sevvaai|Savai|Sevai,1,weekday
புதன்|Budhan|Budan,2,weekday
வியாழன்|Vyaalan|Vailan,3,weekday
வெள்ளி|Velli|veli|,4,weekday
சனி|Sani,5,weekday
ஞாயிறு|Nyaayiru|Nayiur,6,weekday
ஜனவரி|Thai|Tai,1,month
மாசி|Maasi|Masi,2,month
பங்குனி|Panguni||Paungani,3,month
சித்திரை|Chithirai|Chitrai,4,month
வைகாசி|Vaikasi,5,month
ஜூன்|Aani|Ani,6,month
ஜூலை|Aadi,7,month
ஆவணி|Aavani|Avavni,8,month
செப்டம்பர்|Purattasi|Pratasi,9,month
ஐப்பசி|Aippasi|Aipasi,10,month
கார்த்திகை|Kaarthikai|Karthikai,11,month
மார்கழி|Margali,12,month
