key,numeric_representation
ஒரு|முதல்|Oru|Mutal,1
இரண்டு|Irantu,2
மூன்று|மூன்றாவது|Munru|munravatu,3
நான்கு|nanku,4
ஐந்து|Aintu,5
ஆறு|Aru,6
ஏழு|Elu,7
எட்டு|Ettu,8
ஒன்பது|Onpatu,9
பத்து|Pattu,10
பதினொரு|Patinolru,11
பன்னிரண்டு|Pannirantu,12
பதின்மூன்று|Patinmunru,13
பதினான்கு|Patinanku,14
பதினைந்து|Patinaintu,15
பதினாறு|Patinaru,16
பதினேழு|Patinelu,17
பதினெட்டு|Patinettu,18
பத்தொன்பது|Pattonpatu,19
இருபது|Irupatu,20
இருபத்து|Irupatti onru ,21
இருபத்து இரண்டு|Irupatti irantu,22
இருபத்து மூன்று|Irupatti munru ,23
இருபத்து நான்கு|Irupatti nanku ,24
இருபத்து ஐந்து|Irupatti aintu ,25
இருபத்தி ஆறு|Irupatti aru ,26
இருபது ஏழு|Irupatti elu,27
இருபத்தெட்டு|Irupatti ettu ,28
இருபத்து ஒன்பது|Irupatti onpatu ,29
முப்பது|Muppatu,30
முப்பத்து ஒன்று}|Muppatti olru ,31
ஒன்றரை|Onrarai,1.5
இரண்டரை|Irantarai,2.5
