key,numeric_representation,date_type
ఇవాళ|నేడు|ఈరోజు|ఈ రోజు|ఈనాడు|ఈ నాడు|ఈదినం|ఈ దినం|ఈదినము|ఈవేళ|ivala|ivaala|nedu|needu|ee roju|e roju|eroju|eeroju|eenadu|enadu|enaadu|ee dinam,0,relative_date
రేపు|మరుసటిరోజు|మరునాడు|ఱేపు|repu|reepu|marusatiroju|marusatirooju|marunadu|marunaadu,1,relative_date
ఎల్లుండి|ellundi,2,relative_date
అవతలి ఎల్లుండి|అవతలేల్లుంది|అవతలిఎల్లుండి|avathali ellundi|avathalellundi,3,relative_date
తారీఖు|రోజు|తారీఖున|దినం|tareeku|tareekhu|tareekh|roju|rooju|tareekhuna|tareekuna|dinam,NA,month_date_ref
రోజు|రోజులు|roju|rojulu,NA,date_literal
నెల|నెలలు|మాసం|మాసాలు|nela|nalalu|masam|maasam|masalu|maasaalu|masaalu,NA,month_literal
సోమవారం|సోమారం|ఇందువాసరము|somavaram|somavaaram|induvasaramu|induvaasaramu|induvasaram|monday|soma|sooma,0,weekday
మంగళవారము|అంగారకవారమ|జయవారము|mangalavaram|mangalavaaram|tuesday|mangala,1,weekday
బుధవారము|సౌమ్యవాసరము|బుధవారం|budavaram|buda|budavaaram|sowmyavaram|wednesday,2,weekday
గురువారము|బృహస్పతి వారము|లక్ష్మివారము|గురు|గురువారం|guruvaram|guruvaaram|guru|bruhaspathi varam|thursday|guru varam|guru vaaram|lakshmi varam|lakshmivaram,3,weekday
శుక్రవారము|శుక్రవారం|శుక్ర|shukravaram|shukra varam|shukravaaram|shukra,4,weekday
శనివారము|స్థిరవారము|మందవారము|shanivaram|shanivaaram|mandavaram|mandavaaram,5,weekday
ఆదివారము|భానువారము|రవివారము|అధిత్యవారము|తొలివారము|aadivaram|adivaram|adi varam|adi vaaram|bhanuvaram|bhanu|bhanu vaaram|ravivaram|ravi vaaramu|ravi varam|adityavaram|adithya varam|tholivaram|tholi vaaram|sunday,6,weekday
జన.|జన|మొదటి నెల|జనుఅరీ|జనవరి|జనవరి|january|jan|janavary,1,month
ఫిబ్ర.|ఫిబ్ర|ఫిబ్రవరి|ఫెబ్|february|feb|febravary,2,month
ఏప్రి.|ఏప్రి|మార్చ్|మార్|march|mar,3,month
ఏప్రిల్|ఏప్రిల్.|april|apr,4,month
మే|మే.|may,5,month
జూన్|జూన్.|jun|june,6,month
జులై|జులై.|jul|july,7,month
ఆగ.|ఆగ|ఆగష్టు|అగస్ట్|ఆగస్ట్|august|aug,8,month
సెప్.|సెప్|సెప్టెంబర్|september|sep|sept,9,month
అక్టో.|అక్టో|అక్టోబర్|అక్టోబరు|oct|october,10,month
నవ.|నవ|నవంబర్|november|nov,11,month
డిసె.|డిసె|డిసెంబరు|డిసెంబర్|december|dec,12,month
