key,numeric_representation
এক|EK,1
দুই|Dui,2
তিন|Tin,3
চার|Char,4
পাঁচ|Panch,5
ছয়|Choi,6
সাত|Shath,7
আট|Aat,8
নয়|Noi,9
দশ|Dos,10
এগারো|Aegaro,11
বারো|Baro,12
তেরো|Taero,13
চৌদ্দ|Choddo,14
পনেরো|Ponero,15
ষোল|Solo,16
সতেরো|Sotero,17
আঠারো|Atharo,18
ঊনিশ|Unish,19
কুড়ি|Kudi,20
একুশ|Aekush,21
বাইশ|Boish,22
তেইশ|Teis,23
চব্বিশ|Chaubish,24
পঁচিশ|Ponchish,25
ছাব্বিশ|Chobish,26
সাতাশ|Sataish,27
আঠাশ|Ataish,28
ঊনত্রিশ|Untarish,29
তিরিশ|tirish,30
ত্রিশ|Ektrish,31
এক এবং অর্ধেক|Ek ebam ardhek,1.5
দুই অর্ধেক|Dui aar Ardheka,2.5
