key,numeric_representation
१|ek|pahli|pehli ,1
२|do|doosra|dusra|doosri|dusri|doosre|dusre,2
३|teen|teesra|tisra|teesre|tisre|teesri|tisri,3
४|char|chauthi|chautha|choutha|chouthi|chauthe|chouthe,4
५|paanch|panch|paanchvi|panchvi|paanchve|panchve|paanchva|panchva,5
६|chhe|chhah|chhatvi|chhatva|chhatve|chhata|chhathvi|chhathva|chhathve|chhatha,6
७|saat|saatva|satva|saatve|satve|saatvi|satvi,7
८|aath|aathvi|aathva|aathve,8
९|nau|nauva|nauve|nahla|nehla|naumi|nauvi,9
१०|dus|das|dasvi|dusvi|dasve|dusve|dasva|dusva,10
११|gyarah|gyarva|gyarvi,11
१२|barah|barvan|barva|barvi|bareh,12
१३|terah|teravi|terahvi,13
१४|chaudah|chauda,14
१५|pandrah|pandra,15
१६|solah|sola|sholah|shola,16
१७|satrah|satra,17
१८|atharah|athara|atarah|atara,18
१९|unnish|unish,19
२०|bees|beesh,20
२१|ikkish|ikkis|ekish|ekis,21
२२|baaish|baish,22
२३|teish|taish,23
२४|chaubis|choubis|chaubish|choubish,24
२५|pachchish|pachish|pachis|pachchis|pachhis|pachhish,25
२६|chhabish|chhabis,26
२७|sattaish|sataish|satais,27
२८|atthaish|athaish|athais|atthais,28
२९|untish|unteesh|untis|untees,29
३०|tees|treesh,30
३१|ikattish|ekkatish|ikatish|ikatis|ekatis,31
१.५|dedh|dhed,1.5
२.५|dhaai|daai,2.5
